Team,HomeWins,HomeDraws,HomeLosses,HomeGF,HomeGA,AwayWins,AwayDraws,AwayLosses,AwayGF,AwayGA
'Arsenal',12,4,3,31,11,8,7,4,34,25
'Aston Villa',2,5,12,14,35,1,3,15,13,41
'Bournemouth',5,5,9,23,34,6,4,9,22,33
'Chelsea',5,9,5,32,30,7,5,7,27,23
'Crystal Palace',6,3,10,19,23,5,6,8,20,28
'Everton',6,5,8,35,30,5,9,5,24,25
'Leicester City',12,6,1,35,18,11,6,2,33,18
'Liverpool',8,8,3,33,22,8,4,7,30,28
'Manchester City',12,2,5,47,21,7,7,5,24,20
'Manchester United',12,5,2,27,9,7,4,8,22,26
'Newcastle United',7,7,5,32,24,2,3,14,12,41
'Norwich City',6,5,8,26,30,3,2,14,13,37
'Southampton',11,3,5,39,22,7,6,6,20,19
'Stoke City',8,4,7,22,24,6,5,8,19,31
'Sunderland',6,6,7,23,20,3,6,10,25,42
'Swansea City',8,6,5,20,20,4,5,10,22,32
'Tottenham Hotspur',10,6,3,35,15,9,7,3,34,20
'Watford',6,6,7,20,19,6,3,10,20,31
'West Bromwich Albion',6,5,8,20,26,4,8,7,14,22
'West Ham United',9,7,3,34,26,7,7,5,31,25
