yr,residential,resFitted
1990,3078100,2519700
1990.1,2660700,2522800
1990.2,2319400,2525700
1990.2,2173000,2529000
1990.3,2028400,2532200
1990.4,2463300,2535700
1990.5,2933400,2539000
1990.6,2856900,2542600
1990.7,2874700,2546200
1990.7,2245000,2549800
1990.8,2214300,2553500
1990.9,2531102,2557200
1991,3027600,2561100
1991.1,2837300,2565100
1991.2,2382700,2568700
1991.2,2196300,2572800
1991.3,2169900,2576800
1991.4,2617500,2581000
1991.5,3050600,2585100
1991.6,2998900,2589400
1991.7,2817900,2593800
1991.7,2234100,2598100
1991.8,2363500,2602600
1991.9,2642600,2607000
1992,2950700,2611600
1992.1,2833300,2616200
1992.2,2379200,2620700
1992.2,2281700,2625400
1992.3,2089800,2630100
1992.4,2363600,2635000
1992.5,2863400,2639800
1992.6,2855024,2644800
1992.7,2653100,2649800
1992.7,2256800,2654700
1992.8,2335400,2659900
1992.9,2823200,2664900
1993,3025600,2670100
1993.1,2979500,2675400
1993.2,2679200,2680300
1993.2,2323400,2685600
1993.3,2060700,2690900
1993.4,2552700,2696400
1993.5,3259400,2701700
1993.6,3296500,2707300
1993.7,2963500,2712900
1993.7,2315700,2718400
1993.8,2424200,2724100
1993.9,2828800,2729700
1994,3349200,2735400
1994.1,3203000,2741300
1994.2,2576900,2746600
1994.2,2316400,2752500
1994.3,2166300,2758200
1994.4,2803200,2764200
1994.5,3342500,2770100
1994.6,3121000,2776100
1994.7,2845000,2782200
1994.7,2611000,2788200
1994.8,2369100,2794300
1994.9,2769900,2800300
1995,3114600,2806600
1995.1,3095700,2812900
1995.2,2563400,2818600
1995.2,2286100,2824900
1995.3,2261400,2831100
1995.4,2807600,2837500
1995.5,3355600,2843700
1995.6,3706100,2850200
1995.7,3130300,2856600
1995.7,2411300,2863000
1995.8,2564200,2869500
1995.9,2980400,2875900
1996,3503600,2882500
1996.1,3314400,2889100
1996.2,2807600,2895300
1996.2,2487200,2902000
1996.3,2404700,2908500
1996.4,3031800,2915200
1996.5,3423500,2921800
1996.6,3405200,2928600
1996.7,3053300,2935400
1996.7,2431800,2942000
1996.8,2608100,2948800
1996.9,3009700,2955400
1997,3424700,2962300
1997.1,3223700,2969200
1997.2,2626700,2975500
1997.2,2424900,2982400
1997.3,2283200,2989100
1997.4,2785600,2996100
1997.5,3527200,3002900
1997.6,3343100,3009900
1997.7,3159100,3016900
1997.7,2712100,3023700
1997.8,2666800,3030700
1997.9,2982200,3037500
1998,3308000,3044600
1998.1,3091200,3051700
1998.2,2773000,3058100
1998.2,2471500,3065200
1998.3,2499400,3072100
1998.4,3283000,3079200
1998.5,3920600,3086100
1998.6,3881600,3093200
1998.7,3555800,3100300
1998.7,2800100,3107300
1998.8,2565100,3114400
1998.9,2988000,3121300
1999,3587100,3128500
1999.1,3095129,3135700
1999.2,2884600,3142100
1999.2,2575400,3149300
1999.3,2488800,3156200
1999.4,3198000,3163400
1999.5,3972500,3170400
1999.6,4001000,3177500
1999.7,3470500,3184700
1999.7,2664500,3191600
1999.8,2608800,3198800
1999.9,3068600,3205700
2000,3535800,3212900
2000.1,3398700,3220100
2000.2,2729800,3226800
2000.2,2539900,3233900
2000.3,2688300,3240800
2000.4,3466200,3248000
2000.5,3853700,3254900
2000.6,3990300,3262000
2000.7,3617700,3269100
2000.7,2800400,3276000
2000.8,2816100,3283100
2000.9,3649700,3290000
2001,4098900,3297100
2001.1,3567100,3304100
2001.2,2993700,3310500
2001.2,2748500,3317500
2001.3,2636500,3324300
2001.4,3313600,3331400
2001.5,3893800,3338100
2001.6,4167900,3345100
2001.7,3531400,3352100
2001.7,2755500,3358800
2001.8,2693600,3365800
2001.9,3102700,3372500
2002,3770700,3379400
2002.1,3449700,3386300
2002.2,3074800,3392500
2002.2,2846900,3399300
2002.3,2816700,3405900
2002.4,3572300,3412700
2002.5,4312700,3419300
2002.6,4333300,3426100
2002.7,3861100,3432800
2002.7,3049400,3439300
2002.8,2960700,3446000
2002.9,3524700,3452400
2003,4008800,3459100
2003.1,3962000,3465700
2003.2,3211700,3471700
2003.2,2781600,3478200
2003.3,3074000,3484500
2003.4,3376200,3491000
2003.5,4215300,3497300
2003.6,4337700,3503800
2003.7,3795000,3510200
2003.7,2896200,3516300
2003.8,2888600,3522700
2003.9,3484700,3528800
2004,4100700,3535100
2004.1,3878100,3541400
2004.2,3191800,3547200
2004.2,2845900,3553400
2004.3,2922500,3559300
2004.4,3744500,3565400
2004.5,4171100,3571300
2004.6,3957900,3577300
2004.7,3744600,3583300
2004.7,3015000,3589100
2004.8,2988300,3595000
2004.9,3676014,3600700
2005,4041500,3606600
2005.1,3809500,3612400
2005.2,3356900,3617600
2005.2,2891600,3623300
2005.3,2818800,3628800
2005.4,3887600,3634400
2005.5,4660527,3639800
2005.6,4738900,3645400
2005.7,4014000,3650900
2005.7,3312400,3656100
2005.8,3056200,3661500
2005.9,3876700,3666700
2006,3884500,3672000
2006.1,3732500,3677300
2006.2,3385700,3682000
2006.2,2979100,3687100
2006.3,3032300,3692100
2006.4,3960500,3697200
2006.5,4752800,3702000
2006.6,4840800,3707000
2006.7,3869100,3711900
2006.7,3104700,3716600
2006.8,3161400,3721300
2006.9,3705900,3725900
2007,4041500,3730600
2007.1,4338000,3735200
2007.2,3409500,3739400
2007.2,3009400,3743900
2007.3,3109300,3748200
2007.4,3913900,3752600
2007.5,4484700,3756800
2007.6,4842000,3761100
2007.7,4317100,3765300
2007.7,3766100,3769300
2007.8,3196800,3773400
2007.9,3787400,3777300
2008,4302200,3781300
2008.1,4088100,3785200
2008.2,3456900,3788800
2008.2,3072200,3792600
2008.3,2975700,3796200
2008.4,4045900,3799800
2008.5,4618700,3803300
2008.6,4466400,3806800
2008.7,3902600,3810200
2008.7,3100300,3813500
2008.8,3192200,3816800
2008.9,4038600,3819900
2009,4394500,3823100
2009.1,4114700,3826200
2009.2,3435500,3828900
2009.2,3054400,3831900
2009.3,3042300,3834700
2009.4,3813200,3837500
2009.5,4435400,3840100
2009.6,4458800,3842800
2009.7,3838800,3845400
2009.7,3179100,3847800
2009.8,3100900,3850200
2009.9,4000400,3852500
2010,4758100,3854800
2010.1,4387200,3857000
2010.2,3606100,3858900
2010.2,2934900,3860900
2010.3,3059500,3862800
2010.4,4249900,3864700
2010.5,4990000,3866400
2010.6,4969500,3868100
2010.7,4152800,3869700
2010.7,3119000,3871200
2010.8,3105538,3872700
2010.9,4194000,3874000
2011,4679400,3875300
2011.1,4289600,3876500
2011.2,3384600,3877500
2011.2,3123400,3878600
2011.3,3151300,3879500
2011.4,4199400,3880300
2011.5,4991300,3881100
2011.6,4959300,3881800
2011.7,4090600,3882300
2011.7,3051100,3882800
2011.8,3107300,3883200
2011.9,3752900,3883500
2012,4060700,3883700
2012.1,3723300,3883900
2012.2,3205200,3883900
2012.2,2936800,3883800
2012.3,3254700,3883700
2012.4,4097800,3883400
2012.5,4986400,3883100
2012.6,4772300,3882600
2012.7,3961000,3882100
2012.7,3118400,3881400
2012.8,3238500,3880700
2012.9,3683471,3879900
2013,4251100,3878900
2013.1,4039800,3877900
2013.2,3616000,3876800
2013.2,3184700,3875600
2013.3,3070700,3874300
2013.4,3932700,3872800
2013.5,4640500,3871300
2013.6,4453700,3869600
2013.7,4047300,3867900
2013.7,3190100,3866000
2013.8,3263500,3864100
2013.9,4160200,3862000
2014,4726200,3859800
2014.1,4588400,3857500
2014.2,3684900,3855300
2014.2,3076300,3852800
2014.3,3088000,3850300
2014.4,3935000,3847500
2014.5,4420300,3844800
2014.6,4381600,3841800
2014.7,4024700,3838700
2014.7,3162500,3835600
2014.8,3316200,3832300
2014.9,3896800,3829000
2015,4436500,3825400
2015.1,4420600,3821800
2015.2,3769900,3818400
2015.2,2997500,3814500
2015.3,3060100,3810600
2015.4,3997500,3806500
2015.5,4690900,3802400
2015.6,4648100,3798000
2015.7,4166400,3793500
2015.7,3196000,3789100
2015.8,3079400,3784300
2015.9,3581700,3779600
2016,4219200,3774700
2016.1,3997000,3769600
2016.2,3789100,3764700
