Team,Payroll_M__,Manager,ManagerHireDate,ManagerNationality
'Arsenal',192,'Arsène Wenger','10-Jan-1996','France'
'Aston Villa',65.1,'Eric Black','29-Mar-2016','Scotland'
'Bournemouth',25,'Eddie Howe','10-Dec-2012','England'
'Chelsea',215.6,'Guus Hiddink','19-Dec-2015','Netherlands'
'Crystal Palace',54.3,'Alan Pardew','01-Feb-2015','England'
'Everton',74.7,'David Unsworth','05-Dec-2016','England'
'Leicester City',48.2,'Claudio Ranieri','13-Jul-2015','Italy'
'Liverpool',152,'Jürgen Klopp','10-Aug-2015','Germany'
'Manchester City',193.8,'Manuel Pellegrini','14-Jun-2013','Chile'
'Manchester United',203,'Louis van Gaal','14-Jul-2014','Netherlands'
'Newcastle United',75.8,'Rafael Benítez','03-Nov-2016','Spain'
'Norwich City',37,'Alex Neil','01-Sep-2015','Scotland'
'Southampton',59.5,'Ronald Koeman','16-Jun-2014','Netherlands'
'Stoke City',72.3,'Mark Hughes','30-May-2013','Wales'
'Sunderland',71,'Sam Allardyce','10-Sep-2015','England'
'Swansea City',51,'Francesco Guidolin','18-Jan-2016','Italy'
'Tottenham Hotspur',110.5,'Mauricio Pochettino','27-May-2014','Argentina'
'Watford',29,'Quique Sánchez Flores','06-May-2015','Spain'
'West Bromwich Albion',68.5,'Tony Pulis','01-Jan-2015','Wales'
'West Ham United',69.5,'Slaven Bilić','06-Sep-2015','Croatia'
